ASSETID,LOCATION,LEGACYID,STYPE,CONTROLTYPE,WARRANTYDATE,MAINTENANCESECTION,LIFECYCLESTATUS,INSTALLDATE,CONDITION,CONDITIONDATE,OWNEDBY,MAINTAINEDBY,PRIMARYIMAGE,RECORDEDLENGTH,ROTATION,COLLECTIONMETHOD,SOURCENOTES,SIGNAL,SIGN,GATE,WORKAREA,COMMUNITY,FULLSTREETNAME1,FULLSTREETNAME2,FULLSTREETNAME3,FULLSTREETNAME4,DIRECTION1,DIRECTION2,STREETNAMEID1,STREETNAMEID2,STREETNAMEID3,STREETNAMEID4,SEGCOUNT,EDITORCOMMENT,LASTUPDATE,LASTEDITOR,CREATEDATE,CREATEEDITOR,GLOBALID,geometry,longitude,latitude
144348,,,Continuous,,,SS,PRP,,,,,,,,133.09210000000002,,,,,,1264,,Greenvalley Drive,,,,,,825.0,,,,1.0,,2020-01-20 12:21:16+00:00,TEK05PLA,,,{4252CCA5-4F70-4CB5-9E4F-5A081015AAAA},POINT (499655.4565000003 5142306.333799999),-81.00448482915547,46.43432953814084
146667,,,Continuous,,,,REM,,,,,,,,,,,,,,,,Hawthorne Drive,,,,,,875.0,,,,2.0,,,,,,{EFCE0FFD-4F6A-4725-B733-F7AC4D4772D4},POINT (505607.5303999996 5151460.899700001),-80.9268980919328,46.516693630366575
146647,,,Dead end,,,,REM,,,,,,,,,,,,,,,,Hawthorne Drive,,,,,,875.0,,,,1.0,,,,,,{5B0C5131-A7B9-4A4A-BEAD-1BE4787D2C0F},POINT (505543.0778000001 5151540.2675),-80.92773737311774,46.51740843633115
146435,,,Dead end,,,,REM,,,,,,,,,,,,,,,,Danforth Avenue,Porter Street,,,,,460.0,1608.0,,,0.0,,,,,,{CF4BCD30-EC56-4DBC-9D29-40DA0E021935},POINT (504942.4419 5150631.9155),-80.9355772497633,46.509238376521026
146391,,,Continuous,,,SE,REM,,,,,,,,298.987,,,,,,939,,Palace Place Road,,,,,,1524.0,,,,2.0,,2020-06-17 10:21:25+00:00,TEK05PLA,,,{AA8AE10B-477E-4B54-8D47-38E155B8F789},POINT (504852.2966 5148318.1877999995),-80.9367763959543,46.48841652362513
146298,,,Dead end,,,SE,REM,,,,,,,,103.4919,,,,,,940,,Unnamed Private Road 95,,,,,,2449.0,,,,1.0,,2020-06-17 15:52:57+00:00,TEK05PLA,,,{6E174685-FF31-4D94-96C3-8AD0875A93B4},POINT (504581.12129999977 5147843.659600001),-80.94031437729615,46.484147872014596
143023,,,Dead end,,,SS,REM,,,,,,,,,,,,,,,,Club Road,,,,,,385.0,,,,1.0,,2020-09-01 11:09:06+00:00,TEK05PLA,,,{069013BF-C7B5-410C-BD95-DEFA713ED43B},POINT (494221.3970999997 5147224.9539),-81.07527944586704,46.47857057813969
143042,DOW DR and MARIGOLD PL,2044,Continuous,,,SS,REM,,MARIGOLD PL,,1.0,1.0,DOW DR,,,0.0,MARIGOLD PL|DOW DR,,,,,,Dow Drive,Marigold Place,,,,,527.0,1270.0,,,1.0,,2020-09-01 10:53:42+00:00,TEK05PLA,,,{A5835CE7-55AC-42CB-AF14-6DED9213F4FF},POINT (494464.42030000035 5146138.749600001),-81.07210060772606,46.468797226482614
143226,,,Continuous,,,SS,REM,,,,,,,,,,,,,,,,Unnamed Private Road 56,,,,,,2408.0,,,,2.0,,2020-09-01 11:08:15+00:00,TEK05PLA,,,{0477612C-6447-47D4-9333-E8675C7EF9E0},POINT (496207.9506000001 5146822.2282),-81.04939680088869,46.47496031808498
146608,,,Continuous,Stop sign,,NE,ACT,,,,1.0,1.0,,,90.003,0.0,,,,,637,Capreol,Stull Street,Park Road,,,,,1901.0,2252.0,,,1.0,,2020-05-04 15:11:55+00:00,TEK05PLA,,,{74123AB1-404B-4B86-BCAF-B6ECABA3EE07},POINT (505420.75239999965 5173495.3223),-80.92907457614564,46.71499094770835
146809,,,Continuous,,,NE,REM,,,,1.0,1.0,,,,0.0,,,,,642,Capreol,Lincoln Street,Lincoln Street,,,,,1183.0,1183.0,,,1.0,,2018-02-07 11:47:00+00:00,TEK05PLA,,,{AACF2169-CF74-4996-AD1B-E6337950176F},POINT (506041.8969999999 5173261.856699999),-80.92095056124471,46.71288461672561
146450,JAMES ST and FOCH ST,5659,Continuous,Yield sign,,NE,ACT,,JAMES ST,,1.0,1.0,FOCH ST,,179.75230000000002,0.0,JAMES ST|FOCH ST,,,,637,Capreol,Foch Street,James Street,,,,,705.0,974.0,,,2.0,,2020-05-04 15:53:36+00:00,TEK05PLA,,,{B8B97B39-9124-4150-A024-A366D9D708B4},POINT (504990.54279999994 5173689.2324),-80.9347013535157,46.71673933509824
146396,,,Continuous,,,SE,REM,,,,,,,,0.0,,,,,,939,,Horizon Co-Op Road,,,,,,931.0,,,,2.0,,2020-06-17 10:32:38+00:00,TEK05PLA,,,{36E96F16-CD1D-4F39-9679-B9F529BDD9E8},POINT (504884.7293999996 5148210.4793),-80.93635493957885,46.487446959358905
146659,,,Continuous,,,,REM,,,,,,,,,,,,,,,,Hawthorne Drive,,,,,,875.0,,,,2.0,,,,,,{7F358FCB-0CB5-407A-BC0A-88A62A253E58},POINT (505592.29700000025 5151448.739600001),-80.92709682654193,46.516584322040465
146660,,,Dead end,,,,REM,,,,,,,,,,,,,,,,Hawthorne Drive,,,,,,875.0,,,,0.0,,,,,,{7C2999DE-85E5-48EA-9E67-B6ECFDDA20CC},POINT (505592.8262 5151447.284399999),-80.92708994522373,46.51657122154134
146634,EPIPHANY ST and STULL ST,5870,Continuous,Stop sign,,NE,ACT,,EPIPHANY ST,,1.0,1.0,STULL ST,,0.0246,0.0,EPIPHANY ST|STULL ST,,,,637,Capreol,Stull Street,Stull Street,,,,,1901.0,1901.0,,,1.0,,2020-05-04 15:13:31+00:00,TEK05PLA,,,{0CF33CEB-0BAB-48B6-8793-E42B013AA143},POINT (505487.9528999999 5173495.3188000005),-80.92819532183374,46.714990367880176
